1	40557070	40557071
1	46657769	46657770
1	76198337	76198338
1	97915614	97915615
1	100681641	100681642
1	155205634	155205635
2	38298394	38298395
2	38298394	38298395
3	12558126	12558127
3	15686731	15686732
3	15686958	15686959
3	33099712	33099713
3	48608072	48608073
3	136048782	136048783
4	15538697	15538698
4	178359918	178359919
5	149359991	149359992
6	32006858	32006859
6	49426858	49426859
6	51947999	51948000
6	129621928	129621929
7	117180284	117180285
7	117199683	117199684
7	117227792	117227793
7	117227865	117227866
7	117246808	117246809
7	117282538	117282539
7	117292931	117292932
7	117292931	117292932
9	6589230	6589231
9	34647855	34647856
9	34648167	34648168
9	34649029	34649030
9	104189780	104189781
9	104189856	104189857
10	72360499	72360500
11	6413290	6413291
11	6415211	6415212
11	71146886	71146887
11	71148915	71148916
12	103234271	103234272
12	103234285	103234286
12	103237568	103237569
12	103288671	103288672
14	23245147	23245148
15	72640388	72640389
15	80472572	80472573
16	8905010	8905011
16	88898507	88898508
17	3397702	3397703
17	3559792	3559793
17	41063408	41063409
17	48245014	48245015
17	70120318	70120319
17	70120318	70120319
17	73518081	73518082
17	78092070	78092071
17	78185927	78185928
19	1399792	1399793
19	12760746	12760747
20	43255233	43255234
